event_type,event_date,predicted_attendance,lower_bound,upper_bound,recommendation
Friday Action Group,2025-01-03,43,35,52,MODERATE — Standard setup. Prepare materials for ~40 leaders.
Friday Action Group,2025-01-10,44,32,56,MODERATE — Standard setup. Prepare materials for ~40 leaders.
Friday Action Group,2025-01-17,44,32,57,MODERATE — Standard setup. Prepare materials for ~40 leaders.
Friday Action Group,2025-01-24,44,31,57,MODERATE — Standard setup. Prepare materials for ~40 leaders.
Friday Action Group,2025-01-31,44,31,58,MODERATE — Standard setup. Prepare materials for ~40 leaders.
Friday Action Group,2025-02-07,44,30,58,MODERATE — Standard setup. Prepare materials for ~40 leaders.
